Label,Text
Termination,"Either party may terminate this agreement with thirty (30) days' written notice."
Termination,"This contract is subject to termination upon breach of any condition by either party."
Confidentiality,"The employee shall maintain confidentiality of all proprietary information during and after the tenure of employment."
Confidentiality,"Confidential information shall not be disclosed without prior written consent."
IP_Ownership,"All intellectual property developed during the course of this agreement shall belong solely to the employer."
Arbitration_Dispute,"All disputes arising out of this agreement shall be settled through arbitration in accordance with Indian laws."
Payment_Penalty,"Payments shall be made within 30 days of receipt of a valid invoice."
Payment_Penalty,"A late fee of 2% per month will be charged for overdue payments."
Arbitration_Dispute,"This Agreement shall be governed by and construed in accordance with the laws of India."
Indemnification,"The vendor agrees to indemnify and hold harmless the client against any claims arising from breach of contract."
Force_Majeure,"Neither party shall be liable for failure to perform due to causes beyond their reasonable control, including acts of God, war, or natural disaster."
Assignment,"Neither party may assign or transfer this agreement without prior written consent of the other party."
Employment_Conditions,"The employee agrees not to engage in any business that competes with the employer for a period of one year after termination."
Administrative_Governance,"All notices must be in writing and sent by registered mail to the official address provided."
Warranty,"The service provider warrants that all services shall be performed in a professional and workmanlike manner."
Liability,"The companyâ€™s total liability under this agreement shall not exceed the amount paid by the client in the last 12 months."

